 #         t_pb[s]     Dh+(pole)[cm]     Dhx(pole)[cm]      Dh+(equ)[cm]      Dhx(equ)[cm]
      -9.63583E-03      -1.96906E-11      -2.66198E-11       3.55429E+00       0.00000E+00
      -8.63383E-03       3.89534E-11       1.27780E-11       3.95858E+00       0.00000E+00
      -7.63183E-03      -2.01187E-11       2.29298E-11       4.44580E+00       0.00000E+00
      -6.62983E-03      -8.98920E-12       2.03117E-11       5.05557E+00       0.00000E+00
      -5.62783E-03       3.55292E-11      -2.13027E-11       5.84286E+00       0.00000E+00
      -4.97383E-03       9.83759E-12       3.22210E-11       6.68307E+00       0.00000E+00
      -4.77228E-03      -3.51124E-10      -2.91819E-10       6.60715E+00       0.00000E+00
      -4.57072E-03       1.97906E-10       1.73913E-11       7.87046E+00       0.00000E+00
      -4.36917E-03       1.23425E-10       1.25775E-10       8.05241E+00       0.00000E+00
      -4.16761E-03      -1.48962E-10      -1.11201E-10       8.10421E+00       0.00000E+00
      -3.96606E-03       1.95778E-10       8.19161E-11       8.40810E+00       0.00000E+00
      -3.76450E-03      -2.42595E-10       1.17160E-10       8.90655E+00       0.00000E+00
      -3.56295E-03       1.06401E-10      -1.38499E-11       9.25537E+00       0.00000E+00
      -3.36139E-03       2.68131E-10       2.24161E-11       9.66548E+00       0.00000E+00
      -3.15983E-03      -4.12837E-10      -9.27869E-11       1.01059E+01       0.00000E+00
      -2.95828E-03      -2.55363E-10      -3.88336E-11       1.07463E+01       0.00000E+00
      -2.75825E-03       8.66285E-10      -7.19739E-11       1.10315E+01       0.00000E+00
      -2.55822E-03      -5.44645E-10      -6.59980E-11       1.21434E+01       0.00000E+00
      -2.35819E-03       1.07213E-10       7.27326E-11       1.24964E+01       0.00000E+00
      -2.15816E-03      -5.01759E-10       6.24038E-11       1.32705E+01       0.00000E+00
      -1.95814E-03       7.20474E-10      -1.12495E-12       1.43269E+01       0.00000E+00
      -1.75811E-03      -3.98834E-10      -8.16443E-11       1.57796E+01       0.00000E+00
      -1.55808E-03      -1.97273E-10       5.83499E-11       1.69825E+01       0.00000E+00
      -1.35793E-03      -9.00061E-11       1.33448E-10       1.85104E+01       0.00000E+00
      -1.15790E-03       3.98833E-10      -1.47156E-10       2.05089E+01       0.00000E+00
      -9.57876E-04       8.57701E-11      -1.45929E-11       2.30207E+01       0.00000E+00
      -5.57800E-04       8.14784E-11       6.62881E-11       2.94019E+01       0.00000E+00
      -1.57800E-04      -2.35903E-10      -1.37991E-11       5.07348E+01       0.00000E+00
       2.42200E-04       2.71960E-05      -5.33614E-04      -8.87531E+00       0.00000E+00
       6.42400E-04      -3.49812E-03      -1.49964E-02      -5.36198E+01       0.00000E+00
       1.04260E-03      -2.64185E-03       1.53249E-02       2.26931E+01       0.00000E+00
       1.44280E-03       1.53808E-02      -7.24480E-02       2.67415E+01       0.00000E+00
       1.84300E-03      -3.41697E-04      -6.39160E-03      -7.70807E+00       0.00000E+00
       2.24320E-03       2.52209E-02      -7.90516E-03       3.18115E+00       0.00000E+00
       2.64340E-03       3.22411E-02       8.94090E-03      -8.00918E+00       0.00000E+00
