 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
  -1.364383288E-02   3.196002107E-01   4.094292029E-07   6.454791196E-08   7.554960579E+00   6.688930141E+00   6.096837824E+00   3.477781075E-01   4.222674670E-07   6.451123174E-08   7.594623201E+00   6.742244058E+00   5.897066709E+00   3.254418409E-01   4.266362061E-07   6.836519995E-08   7.466569539E+00   6.640243318E+00   6.299697492E+00
  -1.264183316E-02   3.503687057E-01   4.005059978E-07   6.343849950E-08   7.638836608E+00   6.697722578E+00   6.088912957E+00   3.642760390E-01   3.953533115E-07   6.593717461E-08   7.387638665E+00   6.719380627E+00   6.087162975E+00   3.768420805E-01   3.827046756E-07   6.563489213E-08   7.723330526E+00   6.501415831E+00   6.419161296E+00
  -1.163983345E-02   3.841004402E-01   3.915023168E-07   6.226339429E-08   7.724537911E+00   6.698873674E+00   6.077107791E+00   4.283313342E-01   4.129662858E-07   6.029841662E-08   7.836141098E+00   6.813833131E+00   5.717572988E+00   3.460235490E-01   3.499291498E-07   6.475732057E-08   7.122893313E+00   6.293598471E+00   6.225514110E+00
  -1.063783374E-02   4.230719770E-01   3.828902762E-07   6.131488093E-08   7.813323791E+00   6.696151680E+00   6.064715116E+00   4.498375719E-01   4.267889222E-07   6.280815356E-08   7.733422075E+00   6.749631208E+00   5.696276716E+00   4.778594133E-01   4.211106312E-07   6.583184902E-08   7.632805450E+00   6.823617776E+00   6.253582771E+00
  -9.635834023E-03   4.682281357E-01   3.763467858E-07   6.034140288E-08   7.902670799E+00   6.687755285E+00   6.034826827E+00   5.659064892E-01   4.231283696E-07   6.397811704E-08   8.087347601E+00   6.748442348E+00   5.791676877E+00   4.784614375E-01   4.000579460E-07   6.195235453E-08   8.027860884E+00   6.748922401E+00   6.120121334E+00
  -8.633834310E-03   5.213400519E-01   3.694105699E-07   5.978283084E-08   7.996116401E+00   6.683565653E+00   6.025405403E+00   5.465949174E-01   3.902306909E-07   5.995962578E-08   7.987036875E+00   6.625794403E+00   5.700011634E+00   5.409180099E-01   3.955373573E-07   6.940799032E-08   7.885301064E+00   6.689836941E+00   6.580690205E+00
  -7.631833665E-03   5.859684663E-01   3.622949217E-07   5.897022001E-08   8.105428935E+00   6.676665882E+00   5.994546116E+00   7.146322683E-01   3.760154323E-07   6.493403808E-08   8.249918628E+00   6.686183698E+00   5.855159309E+00   6.213676489E-01   3.759214762E-07   6.407315629E-08   8.083761668E+00   6.595643169E+00   5.972363353E+00
  -6.629833486E-03   6.664637836E-01   3.542680508E-07   5.799172260E-08   8.229736506E+00   6.676879589E+00   5.958138882E+00   6.882428052E-01   3.660223294E-07   6.688103867E-08   8.314982825E+00   6.506489249E+00   5.968721708E+00   6.932342313E-01   3.456745644E-07   6.602216082E-08   8.224836469E+00   6.602285102E+00   6.077173465E+00
  -5.627833307E-03   7.582995902E-01   3.459190063E-07   5.738358682E-08   8.360582285E+00   6.678137015E+00   5.927786945E+00   7.850247196E-01   3.644265099E-07   6.673156391E-08   8.270967870E+00   6.397981488E+00   6.395530464E+00   8.037813428E-01   3.378676808E-07   5.558831192E-08   8.374617038E+00   6.589077415E+00   5.746174148E+00
  -4.973833449E-03   8.339569173E-01   3.392521347E-07   5.695025655E-08   8.464966718E+00   6.665594786E+00   5.877274288E+00   8.828801145E-01   3.628518880E-07   6.285955607E-08   8.301939435E+00   6.578325334E+00   5.822518536E+00   8.726542299E-01   3.466878498E-07   6.384413637E-08   8.345465505E+00   6.604804714E+00   5.994077239E+00
  -4.772278480E-03   8.601209880E-01   3.362584290E-07   5.694575410E-08   8.502167083E+00   6.657594608E+00   5.865956849E+00   7.674163668E-01   3.623128156E-07   5.510412086E-08   8.488825588E+00   6.558343373E+00   5.769890746E+00   1.012072783E+00   3.375854794E-07   6.155405792E-08   8.750701899E+00   6.585253444E+00   6.072211945E+00
  -4.570722580E-03   8.879167135E-01   3.342031850E-07   5.686555236E-08   8.536764222E+00   6.654781979E+00   5.844153651E+00   1.039186660E+00   3.532489743E-07   6.502270305E-08   8.739085541E+00   6.528094854E+00   5.847321877E+00   9.537791104E-01   3.813220320E-07   6.302581643E-08   8.650433470E+00   6.647917695E+00   5.882473462E+00
  -4.369167145E-03   9.131763309E-01   3.330452832E-07   5.685381014E-08   8.569829152E+00   6.656907154E+00   5.818496623E+00   1.083613994E+00   3.570427784E-07   5.822287224E-08   8.768971492E+00   6.662745726E+00   5.537373668E+00   8.568218940E-01   3.601995214E-07   6.497696239E-08   8.162456450E+00   6.566544836E+00   5.931329993E+00
  -4.167611711E-03   9.409641950E-01   3.307104493E-07   5.696045858E-08   8.604979615E+00   6.653744192E+00   5.793555182E+00   1.143422827E+00   3.180192261E-07   5.972753953E-08   9.019707847E+00   6.485428585E+00   5.620870990E+00   9.237384993E-01   3.482776366E-07   6.715535764E-08   8.515274192E+00   6.495959068E+00   6.156442044E+00
  -3.966056276E-03   9.706241635E-01   3.281852864E-07   5.708849816E-08   8.632945286E+00   6.641062532E+00   5.769177169E+00   1.097182920E+00   3.399539448E-07   6.212300606E-08   8.958057284E+00   6.586494430E+00   5.718896074E+00   1.085594949E+00   3.714350171E-07   6.645988214E-08   8.765443940E+00   6.719803935E+00   6.041372454E+00
  -3.764500841E-03   9.970031378E-01   3.248527003E-07   5.704135767E-08   8.669999353E+00   6.627427254E+00   5.727507988E+00   1.107613953E+00   3.210719808E-07   5.700021471E-08   8.800345709E+00   6.371719504E+00   5.566551216E+00   9.247522178E-01   3.468926933E-07   6.430589663E-08   8.483779045E+00   6.628839837E+00   5.907998288E+00
  -3.562945407E-03   1.026499681E+00   3.221325621E-07   5.726842499E-08   8.712607060E+00   6.622901825E+00   5.672436096E+00   1.127144058E+00   3.347275027E-07   6.121604199E-08   8.916396561E+00   6.698996247E+00   5.619977246E+00   1.139916226E+00   3.301884828E-07   6.064925610E-08   8.919903505E+00   6.572168999E+00   5.736378214E+00
  -3.361389972E-03   1.057226352E+00   3.202828287E-07   5.753303443E-08   8.755866432E+00   6.616299507E+00   5.606365977E+00   1.097120432E+00   3.442046640E-07   6.040568365E-08   8.883128930E+00   6.571447366E+00   5.403915555E+00   1.075927683E+00   3.517886395E-07   6.454689021E-08   8.715837441E+00   6.746618674E+00   5.880200218E+00
  -3.159834305E-03   1.092543717E+00   3.177345656E-07   5.825182530E-08   8.799977929E+00   6.602419241E+00   5.536217241E+00   1.281371792E+00   3.304911819E-07   6.238116019E-08   8.903439376E+00   6.502804153E+00   5.544252190E+00   1.140370697E+00   3.116052849E-07   6.347088276E-08   8.978308950E+00   6.619020590E+00   5.774732066E+00
  -2.958279103E-03   1.124065769E+00   3.156721813E-07   5.952407974E-08   8.840025687E+00   6.585969534E+00   5.447652598E+00   1.173020989E+00   3.640529855E-07   6.254460837E-08   8.871877596E+00   6.682473277E+00   5.374400880E+00   1.191807948E+00   3.454881522E-07   6.910111254E-08   8.727150726E+00   6.622522340E+00   5.936470719E+00
  -2.758250572E-03   1.157588765E+00   3.138066107E-07   6.102572024E-08   8.885843882E+00   6.566032347E+00   5.326016259E+00   1.326814452E+00   3.323233080E-07   6.310116208E-08   8.932736528E+00   6.475680988E+00   5.180900882E+00   1.145813100E+00   3.467754732E-07   6.573304770E-08   8.558367744E+00   6.598617450E+00   5.854606806E+00
